identifiant_commande;identifiant_client;identifiant_produit;quantite;prix_unitaire;date
OR002027;CL000016;PR000002;44;13.92;2021-08-07
OR002028;CL000044;PR000002;21;13.92;2021-08-07
OR002029;CL000044;PR000030;22;12.1;2021-08-07
OR002030;CL000055;PR000030;16;12.1;2021-08-07
OR002031;CL000016;PR000028;45;;2021-08-07
OR002032;CL000005;PR000001;21;2.31;2021-08-07
OR002033;CL000029;PR000017;14;25.42;2021-08-08
OR002034;CL000024;PR000011;19;33.64;2021-08-08
OR002035;CL000002;PR000014;11;32.43;2021-08-08
OR002036;CL000065;PR000009;9;15.14;2021-08-09
OR002037;CL000056;PR000030;38;12.1;2021-08-09
OR002038;CL000047;PR000002;27;14.48;2021-08-09
OR002039;CL000088;PR000001;28;2.41;2021-08-09
OR002040;CL000063;PR000010;12;20.86;2021-08-09
OR002041;CL000005;PR000001;11;2.31;2021-08-09
OR002042;CL000008;PR000006;41;21.52;2021-08-09
OR002043;CL000013;PR000031;28;10.08;2021-08-09
OR002044;CL000019;PR000008;20;28.06;2021-08-09
OR002045;CL000088;PR000028;23;2.53;2021-08-10
OR002046;CL000014;PR000010;23;20.86;2021-08-10
OR002047;CL000097;PR000021;35;33.63;2021-08-10
OR002048;CL000099;PR000001;28;2.41;2021-08-10
OR002049;CL000060;PR000006;42;24.73;2021-08-10
OR002050;CL000027;PR000006;6;24.25;2021-08-10
OR002051;CL000005;PR000015;40;15.68;2021-08-10
OR002052;CL000088;PR000013;8;3.83;2021-08-10
OR002053;CL000094;PR000027;16;32.47;2021-08-10
OR002054;CL000035;PR000023;22;13.13;2021-08-10
OR002055;CL000082;PR000028;5;2.58;2021-08-11
OR002056;CL000066;PR000001;20;2.41;2021-08-11
OR002057;CL000001;PR000010;44;20.86;2021-08-11
OR002058;CL000074;PR000009;6;15.14;2021-08-11
OR002059;CL000013;PR000015;36;15.99;2021-08-11
OR002060;CL000005;PR000021;17;33.63;2021-08-11
OR002061;CL000031;PR000015;15;17.66;2021-08-11
OR002062;CL000030;PR000008;18;28.62;2021-08-11
OR002063;CL000024;PR000016;49;6.38;2021-08-11
OR002064;CL000091;PR000015;18;18.01;2021-08-12
OR002065;CL000089;PR000009;46;15.14;2021-08-12
OR002066;CL000039;PR000020;37;14.79;2021-08-12
OR002067;CL000018;PR000009;50;15.14;2021-08-12
OR002068;CL000068;PR000018;13;8.29;2021-08-12
OR002069;CL000023;PR000020;35;14.79;2021-08-12
OR002070;CL000071;PR000002;37;13.92;2021-08-12
OR002071;CL000055;PR000022;24;30.19;2021-08-12
OR002072;CL000024;PR000006;23;23.77;2021-08-13
OR002073;CL000088;PR000008;5;28.62;2021-08-13
OR002074;CL000005;PR000006;5;21.1;2021-08-13
OR002075;CL000048;PR000015;3;18.01;2021-08-13
OR002076;CL000005;PR000023;5;11.66;2021-08-13
OR002077;CL000014;PR000019;8;22.5;2021-08-13
OR002078;CL000026;PR000013;20;3.54;2021-08-13
OR002079;CL000022;PR000022;17;30.19;2021-08-13
OR002080;CL000003;PR000013;13;3.61;2021-08-13
OR002081;CL000065;PR000002;31;14.2;2021-08-14
OR002082;CL000001;PR000004;30;9.21;2021-08-14
OR002083;CL000005;PR000009;15;13.71;2021-08-14
OR002084;CL000023;PR000024;38;12.05;2021-08-14
OR002085;CL000026;PR000008;49;28.06;2021-08-15
OR002086;CL000005;PR000030;34;12.1;2021-08-15
OR002087;CL000030;PR000002;25;14.2;2021-08-15
OR002088;CL000024;PR000013;23;3.61;2021-08-15
OR002089;CL000008;PR000007;31;24.02;2021-08-15
OR002090;CL000026;PR000017;33;24.43;2021-08-15
OR002091;CL000016;PR000028;8;2.53;2021-08-15
OR002092;CL000044;PR000008;3;28.62;2021-08-15
OR002093;CL000020;PR000023;45;13.13;2021-08-15
OR002094;CL000008;PR000008;36;28.06;2021-08-15
OR002095;CL000068;PR000005;36;10.62;2021-08-15
OR002096;CL000050;PR000031;50;10.08;2021-08-15
OR002097;CL000072;PR000007;19;24.02;2021-08-15
OR002098;CL000052;PR000014;50;33.08;2021-08-15
OR002099;CL000022;PR000012;4;15.28;2021-08-16
OR002100;CL000004;PR000012;31;15.28;2021-08-16
OR002101;CL000008;PR000020;37;14.5;2021-08-16
OR002102;CL000024;PR000004;10;9.21;2021-08-16
OR002103;CL000090;PR000014;6;34.41;2021-08-16
OR002104;CL000016;PR000027;34;31.83;2021-08-16
OR002105;CL000001;PR000020;18;14.79;2021-08-16
OR002106;CL000004;PR000006;25;23.3;2021-08-16
OR002107;CL000013;PR000005;46;10.62;2021-08-16
OR002108;CL000042;PR000031;23;10.28;2021-08-16
OR002109;CL000075;PR000004;13;9.39;2021-08-16
OR002110;CL000008;PR000030;5;12.1;2021-08-16
OR002111;CL000009;PR000028;43;2.58;2021-08-17
OR002112;CL000049;PR000015;28;16.97;2021-08-17
OR002113;CL000008;PR000027;11;31.83;2021-08-17
OR002114;CL000019;PR000014;39;31.79;2021-08-17
OR002115;CL000005;PR000019;19;21.63;2021-08-17
OR002116;CL000005;PR000008;11;26.97;2021-08-17
OR002117;CL000008;PR000014;15;31.17;2021-08-17
OR002118;CL000013;PR000010;50;20.86;2021-08-17
OR002119;CL000069;PR000020;27;14.79;2021-08-17
OR002120;CL000014;PR000002;49;13.92;2021-08-18
OR002121;CL000016;PR000015;23;15.99;2021-08-18
OR002122;CL000005;PR000013;9;3.47;2021-08-18
OR002123;CL000005;PR000015;11;15.99;2021-08-18
OR002124;CL000016;PR000027;16;31.83;2021-08-18
OR002125;CL000071;PR000006;14;23.77;2021-08-18
OR002126;CL000063;PR000018;19;8.13;2021-08-18
OR002127;CL000005;PR000012;33;14.98;2021-08-19
OR002128;CL000024;PR000020;7;14.79;2021-08-19
OR002129;CL000063;PR000023;33;12.37;2021-08-19
OR002130;CL000095;PR000001;27;2.51;2021-08-19
OR002131;CL000011;PR000028;24;2.53;2021-08-19
OR002132;CL000026;PR000030;18;12.1;2021-08-19
OR002133;CL000006;PR000003;28;27.35;2021-08-19
OR002134;CL000008;PR000004;3;9.21;2021-08-19
OR002135;CL000008;PR000009;45;13.98;2021-08-19
OR002136;CL000023;PR000014;15;33.08;2021-08-19
OR002137;CL000005;PR000023;4;11.66;2021-08-20
OR002138;CL000026;PR000030;6;12.1;2021-08-20
OR002139;CL000003;PR000006;44;22.84;2021-08-20
OR002140;CL000073;PR000023;41;13.13;2021-08-20
OR002141;CL000032;PR000028;49;2.53;2021-08-20
OR002142;CL000057;PR000005;49;10.62;2021-08-20
OR002143;CL000062;PR000018;23;8.29;2021-08-20
OR002144;CL000025;PR000004;40;9.39;2021-08-20
OR002145;CL000005;PR000008;21;26.97;2021-08-20
OR002146;CL000052;PR000001;40;2.41;2021-08-20
OR002147;CL000016;PR000001;42;2.31;2021-08-20
OR002148;CL000005;PR000006;41;20.69;2021-08-21
OR002149;CL000029;PR000011;18;33.64;2021-08-21
OR002150;CL000039;PR000015;30;16.64;2021-08-21
OR002151;CL000056;PR000030;24;12.1;2021-08-21
OR002152;CL000076;PR000028;47;2.58;2021-08-21
OR002153;CL000020;PR000010;19;21.28;2021-08-21
OR002154;CL000041;PR000001;4;2.41;2021-08-21
OR002155;CL000044;PR000001;4;2.41;2021-08-21
OR002156;CL000014;PR000002;47;13.92;2021-08-21
OR002157;CL000026;PR000020;42;14.79;2021-08-22
OR002158;CL000058;PR000011;38;33.64;2021-08-22
OR002159;CL000078;PR000006;50;24.25;2021-08-22
OR002160;CL000040;PR000015;4;16.97;2021-08-22
OR002161;CL000055;PR000003;47;26.28;2021-08-22
OR002162;CL000056;PR000031;46;10.28;2021-08-22
OR002163;CL000016;PR000006;34;21.52;2021-08-22
OR002164;CL000003;PR000015;12;15.99;2021-08-22
OR002165;CL000092;PR000001;19;2.46;2021-08-22
OR002166;CL000005;PR000004;30;9.03;2021-08-22
OR002167;CL000057;PR000019;27;23.41;2021-08-22
OR002168;CL000016;PR000007;10;24.02;2021-08-23
OR002169;CL000071;PR000002;20;13.92;2021-08-23
OR002170;CL000023;PR000004;18;9.39;2021-08-23
OR002171;CL000016;PR000025;38;26.41;2021-08-24
OR002172;CL000005;PR000008;10;26.97;2021-08-24
OR002173;CL000039;PR000015;46;16.64;2021-08-24
OR002174;CL000005;PR000031;37;10.08;2021-08-24
OR002175;CL000023;PR000003;11;;2021-08-24
OR002176;CL000002;PR000008;4;28.62;2021-08-25
OR002177;CL000014;PR000001;22;2.41;2021-08-25
OR002178;CL000005;PR000004;34;9.03;2021-08-25
OR002179;CL000016;PR000008;20;28.06;2021-08-25
OR002180;CL000003;PR000009;7;14.26;2021-08-25
OR002181;CL000019;PR000008;28;28.06;2021-08-25
OR002182;CL000014;PR000015;22;16.64;2021-08-25
OR002183;CL000070;PR000008;38;28.62;2021-08-25
OR002184;CL000067;PR000011;8;33.64;2021-08-25
OR002185;CL000038;PR000031;34;10.28;2021-08-25
OR002186;CL000076;PR000008;16;28.62;2021-08-25
OR002187;CL000008;PR000006;8;21.52;2021-08-25
OR002188;CL000019;PR000024;34;12.05;2021-08-25
OR002189;CL000056;PR000009;22;14.84;2021-08-25
OR002190;CL000037;PR000009;21;15.14;2021-08-25
OR002191;CL000005;PR000012;32;;2021-08-26
OR002192;CL000019;PR000015;44;15.99;2021-08-26
OR002193;CL000024;PR000009;3;14.84;2021-08-26
OR002194;CL000082;PR000016;44;6.77;2021-08-26
OR002195;CL000007;PR000001;46;2.41;2021-08-26
OR002196;CL000016;PR000028;7;2.53;2021-08-26
OR002197;CL000004;PR000001;14;2.31;2021-08-26
OR002198;CL000025;PR000027;33;31.83;2021-08-26
OR002199;CL000005;PR000010;4;20.86;2021-08-26
OR002200;CL000003;PR000019;4;22.5;2021-08-26
OR002201;CL000004;PR000027;5;31.83;2021-08-26
OR002202;CL000023;PR000008;5;28.62;2021-08-27
OR002203;CL000055;PR000006;35;22.39;2021-08-27
OR002204;CL000062;PR000023;4;13.13;2021-08-27
OR002205;CL000005;PR000014;42;30.56;2021-08-27
OR002206;CL000013;PR000027;18;31.83;2021-08-27
OR002207;CL000074;PR000017;20;25.42;2021-08-27
OR002208;CL000042;PR000016;21;6.64;2021-08-27
OR002209;CL000056;PR000001;16;2.36;2021-08-27
OR002210;CL000053;PR000003;14;27.35;2021-08-27
OR002211;CL000042;PR000005;16;10.62;2021-08-28
OR002212;CL000050;PR000010;26;20.86;2021-08-28
OR002213;CL000064;PR000027;8;32.47;2021-08-28
OR002214;CL000055;PR000012;34;14.98;2021-08-28
OR002215;CL000089;PR000004;48;9.77;2021-08-28
OR002216;CL000066;PR000010;36;21.28;2021-08-28
OR002217;CL000006;PR000004;2;9.39;2021-08-28
OR002218;CL000008;PR000008;30;28.06;2021-08-28
OR002219;CL000002;PR000010;15;20.86;2021-08-28
OR002220;CL000006;PR000028;28;2.53;2021-08-29
OR002221;CL000027;PR000014;5;33.08;2021-08-29
OR002222;CL000083;PR000015;46;18.01;2021-08-29
OR002223;CL000026;PR000010;36;20.86;2021-08-29
OR002224;CL000025;PR000009;1;15.14;2021-08-29
OR002225;CL000027;PR000011;42;33.64;2021-08-29
OR002226;CL000049;PR000022;23;30.19;2021-08-29
OR002227;CL000010;PR000028;38;2.53;2021-08-29
OR002228;CL000030;PR000013;37;3.75;2021-08-29
OR002229;CL000077;PR000011;29;33.64;2021-08-30
OR002230;CL000041;PR000013;49;3.83;2021-08-30
OR002231;CL000016;PR000020;28;14.5;2021-08-30
OR002232;CL000026;PR000008;41;28.06;2021-08-30
OR002233;CL000053;PR000009;36;15.14;2021-08-30
OR002234;CL000010;PR000004;32;9.21;2021-08-31
OR002235;CL000008;PR000024;3;12.05;2021-08-31
OR002236;CL000005;PR000006;17;20.69;2021-08-31
OR002237;CL000026;PR000006;13;21.95;2021-08-31
OR002238;CL000044;PR000007;10;24.02;2021-08-31
OR002239;CL000018;PR000009;33;15.14;2021-08-31
OR002240;CL000016;PR000020;41;14.5;2021-08-31
OR002241;CL000005;PR000023;40;11.66;2021-08-31
OR002242;CL000005;PR000015;4;;2021-08-31
OR002243;CL000034;PR000030;39;12.1;2021-09-01
OR002244;CL000001;PR000014;10;31.79;2021-09-01
OR002245;CL000005;PR000031;16;10.08;2021-09-01
OR002246;CL000016;PR000001;28;2.31;2021-09-01
OR002247;CL000021;PR000013;31;;2021-09-01
OR002248;CL000016;PR000006;47;21.52;2021-09-01
OR002249;CL000005;PR000020;50;14.5;2021-09-01
OR002250;CL000082;PR000002;20;14.2;2021-09-01
OR002251;CL000064;PR000013;50;3.91;2021-09-01
OR002252;CL000056;PR000015;50;16.31;2021-09-02
OR002253;CL000018;PR000023;21;12.87;2021-09-02
OR002254;CL000004;PR000030;37;12.1;2021-09-02
OR002255;CL000004;PR000014;39;31.17;2021-09-02
OR002256;CL000005;PR000030;35;12.1;2021-09-02
OR002257;CL000029;PR000019;33;22.5;2021-09-02
OR002258;CL000025;PR000011;29;33.64;2021-09-02
OR002259;CL000050;PR000010;2;20.86;2021-09-02
OR002260;CL000016;PR000015;48;15.99;2021-09-02
OR002261;CL000030;PR000013;3;3.75;2021-09-03
OR002262;CL000008;PR000027;31;31.83;2021-09-03
OR002263;CL000056;PR000014;16;32.43;2021-09-03
OR002264;CL000053;PR000020;40;14.79;2021-09-03
OR002265;CL000003;PR000030;46;12.1;2021-09-03
OR002266;CL000005;PR000003;30;26.28;2021-09-03
OR002267;CL000002;PR000014;24;32.43;2021-09-04
OR002268;CL000016;PR000004;33;9.21;2021-09-04
OR002269;CL000008;PR000016;8;6.38;2021-09-04
OR002270;CL000005;PR000015;25;15.99;2021-09-04
OR002271;CL000099;PR000006;45;24.25;2021-09-04
OR002272;CL000029;PR000009;5;14.84;2021-09-05
OR002273;CL000024;PR000018;42;7.97;2021-09-05
OR002274;CL000012;PR000004;18;9.77;2021-09-05
OR002275;CL000006;PR000011;36;33.64;2021-09-05
OR002276;CL000016;PR000003;10;26.28;2021-09-05
OR002277;CL000003;PR000015;31;15.99;2021-09-05
OR002278;CL000071;PR000009;34;14.84;2021-09-06
OR002279;CL000018;PR000026;43;11.15;2021-09-06
OR002280;CL000070;PR000004;3;9.39;2021-09-06
OR002281;CL000055;PR000030;21;12.1;2021-09-06
OR002282;CL000075;PR000011;44;33.64;2021-09-06
OR002283;CL000016;PR000012;15;14.98;2021-09-06
OR002284;CL000055;PR000002;8;13.92;2021-09-06
OR002285;CL000017;PR000003;50;27.35;2021-09-06
OR002286;CL000059;PR000012;47;15.28;2021-09-07
OR002287;CL000013;PR000013;4;3.61;2021-09-07
OR002288;CL000004;PR000010;16;20.86;2021-09-07
OR002289;CL000005;PR000002;43;13.92;2021-09-07
OR002290;CL000013;PR000016;32;6.38;2021-09-07
OR002291;CL000003;PR000030;16;12.1;2021-09-07
OR002292;CL000001;PR000024;41;12.05;2021-09-07
OR002293;CL000019;PR000004;41;9.21;2021-09-07
OR002294;CL000009;PR000018;46;8.29;2021-09-07
OR002295;CL000005;PR000001;10;2.26;2021-09-07
OR002296;CL000011;PR000021;4;33.63;2021-09-07
OR002297;CL000016;PR000013;19;3.54;2021-09-07
OR002298;CL000016;PR000005;46;10.62;2021-09-07
OR002299;CL000005;PR000015;15;15.99;2021-09-07
OR002300;CL000054;PR000006;40;24.25;2021-09-08
OR002301;CL000056;PR000014;17;32.43;2021-09-08
OR002302;CL000019;PR000001;10;2.36;2021-09-08
OR002303;CL000016;PR000015;7;;2021-09-08
OR002304;CL000008;PR000012;49;14.98;2021-09-08
OR002305;CL000078;PR000027;5;31.83;2021-09-08
OR002306;CL000095;PR000018;38;8.29;2021-09-08
OR002307;CL000008;PR000010;35;20.86;2021-09-08
OR002308;CL000087;PR000028;12;2.58;2021-09-08
OR002309;CL000096;PR000011;37;33.64;2021-09-08
OR002310;CL000055;PR000015;48;15.99;2021-09-08
OR002311;CL000034;PR000011;31;33.64;2021-09-09
OR002312;CL000034;PR000002;8;14.2;2021-09-09
OR002313;CL000030;PR000006;33;24.25;2021-09-09
OR002314;CL000072;PR000022;22;30.19;2021-09-09
OR002315;CL000035;PR000008;45;28.62;2021-09-09
OR002316;CL000001;PR000007;36;24.02;2021-09-09
OR002317;CL000016;PR000015;50;15.99;2021-09-09
OR002318;CL000082;PR000016;18;;2021-09-09
OR002319;CL000050;PR000004;31;9.21;2021-09-09
OR002320;CL000008;PR000001;37;2.31;2021-09-10
OR002321;CL000001;PR000006;23;23.77;2021-09-10
OR002322;CL000032;PR000003;34;27.35;2021-09-10
OR002323;CL000090;PR000030;42;12.1;2021-09-10
OR002324;CL000016;PR000015;49;15.99;2021-09-10
OR002325;CL000080;PR000028;15;2.58;2021-09-10
OR002326;CL000016;PR000009;21;13.98;2021-09-10
OR002327;CL000055;PR000005;49;10.62;2021-09-11
OR002328;CL000007;PR000028;7;2.53;2021-09-11
OR002329;CL000020;PR000014;21;34.41;2021-09-11
OR002330;CL000001;PR000027;13;31.83;2021-09-11
OR002331;CL000042;PR000018;40;8.29;2021-09-11
OR002332;CL000035;PR000009;43;15.14;2021-09-11
OR002333;CL000023;PR000003;13;27.35;2021-09-11
OR002334;CL000068;PR000027;39;32.47;2021-09-11
OR002335;CL000076;PR000011;9;33.64;2021-09-11
OR002336;CL000055;PR000011;5;33.64;2021-09-12
OR002337;CL000013;PR000008;17;28.62;2021-09-12
OR002338;CL000054;PR000001;10;2.41;2021-09-12
OR002339;CL000005;PR000015;7;15.99;2021-09-12
OR002340;CL000096;PR000026;25;11.15;2021-09-12
OR002341;CL000097;PR000012;49;15.28;2021-09-12
OR002342;CL000055;PR000006;9;22.84;2021-09-12
OR002343;CL000067;PR000031;47;10.28;2021-09-12
OR002344;CL000002;PR000004;40;9.21;2021-09-13
OR002345;CL000092;PR000010;39;21.28;2021-09-13
OR002346;CL000016;PR000004;24;9.03;2021-09-13
OR002347;CL000048;PR000006;20;25.72;2021-09-13
OR002348;CL000004;PR000005;12;10.62;2021-09-13
OR002349;CL000014;PR000005;16;10.62;2021-09-14
OR002350;CL000044;PR000027;48;31.83;2021-09-14
OR002351;CL000016;PR000003;9;26.28;2021-09-14
OR002352;CL000016;PR000005;31;10.62;2021-09-14
OR002353;CL000062;PR000018;27;8.29;2021-09-14
OR002354;CL000049;PR000011;41;33.64;2021-09-14
OR002355;CL000022;PR000005;21;10.62;2021-09-14
OR002356;CL000041;PR000008;21;28.62;2021-09-15
OR002357;CL000029;PR000014;3;33.08;2021-09-15
OR002358;CL000050;PR000018;30;7.97;2021-09-15
OR002359;CL000071;PR000013;47;3.61;2021-09-15
OR002360;CL000057;PR000010;31;21.28;2021-09-15
OR002361;CL000043;PR000027;30;31.83;2021-09-15
OR002362;CL000028;PR000014;9;34.41;2021-09-15
OR002363;CL000015;PR000014;11;34.41;2021-09-15
OR002364;CL000026;PR000022;23;30.19;2021-09-15
OR002365;CL000002;PR000007;25;24.02;2021-09-15
OR002366;CL000063;PR000015;37;16.31;2021-09-16
OR002367;CL000084;PR000027;21;33.78;2021-09-16
OR002368;CL000077;PR000008;45;28.62;2021-09-16
OR002369;CL000005;PR000015;10;15.68;2021-09-16
OR002370;CL000024;PR000004;2;9.21;2021-09-16
OR002371;CL000052;PR000031;20;10.28;2021-09-16
OR002372;CL000082;PR000023;36;13.13;2021-09-16
OR002373;CL000070;PR000008;41;28.62;2021-09-16
OR002374;CL000056;PR000015;13;16.31;2021-09-16
OR002375;CL000040;PR000014;9;34.41;2021-09-17
OR002376;CL000003;PR000021;9;33.63;2021-09-17
OR002377;CL000052;PR000006;24;24.25;2021-09-17
OR002378;CL000078;PR000027;15;31.83;2021-09-17
OR002379;CL000071;PR000008;31;28.62;2021-09-18
OR002380;CL000042;PR000005;34;10.62;2021-09-18
OR002381;CL000008;PR000023;49;11.89;2021-09-18
OR002382;CL000054;PR000007;15;24.02;2021-09-18
OR002383;CL000055;PR000014;36;31.17;2021-09-18
OR002384;CL000003;PR000018;11;7.81;2021-09-18
OR002385;CL000016;PR000015;46;15.99;2021-09-18
OR002386;CL000090;PR000017;14;25.42;2021-09-18
OR002387;CL000070;PR000012;6;15.28;2021-09-18
OR002388;CL000005;PR000009;32;13.98;2021-09-18
OR002389;CL000026;PR000005;8;10.62;2021-09-19
OR002390;CL000016;PR000014;42;31.17;2021-09-19
OR002391;CL000008;PR000002;38;13.92;2021-09-19
OR002392;CL000004;PR000019;33;22.5;2021-09-20
OR002393;CL000019;PR000006;22;23.3;2021-09-20
OR002394;CL000063;PR000009;44;14.84;2021-09-20
OR002395;CL000017;PR000027;2;31.83;2021-09-21
OR002396;CL000019;PR000030;44;12.1;2021-09-21
OR002397;CL000086;PR000015;38;17.66;2021-09-21
OR002398;CL000005;PR000006;24;20.69;2021-09-21
OR002399;CL000016;PR000016;45;6.38;2021-09-21
OR002400;CL000024;PR000001;10;2.36;2021-09-21
OR002401;CL000027;PR000028;22;2.53;2021-09-21
OR002402;CL000066;PR000004;50;9.39;2021-09-21
OR002403;CL000063;PR000012;6;15.28;2021-09-22
OR002404;CL000031;PR000010;41;21.28;2021-09-22
OR002405;CL000005;PR000019;16;21.63;2021-09-22
OR002406;CL000096;PR000008;34;28.62;2021-09-22
OR002407;CL000060;PR000009;35;15.14;2021-09-22
OR002408;CL000005;PR000027;25;31.21;2021-09-22
OR002409;CL000008;PR000015;16;15.99;2021-09-22
OR002410;CL000066;PR000027;15;31.83;2021-09-22
OR002411;CL000056;PR000010;2;20.86;2021-09-22
OR002412;CL000097;PR000018;20;8.29;2021-09-23
OR002413;CL000016;PR000005;50;10.62;2021-09-23
OR002414;CL000008;PR000017;16;24.43;2021-09-23
OR002415;CL000027;PR000008;13;28.62;2021-09-23
OR002416;CL000014;PR000013;36;3.75;2021-09-23
OR002417;CL000026;PR000023;14;11.89;2021-09-23
OR002418;CL000026;PR000008;37;28.06;2021-09-23
OR002419;CL000005;PR000006;46;20.69;2021-09-23
OR002420;CL000043;PR000024;6;12.29;2021-09-23
OR002421;CL000088;PR000018;30;8.29;2021-09-23
OR002422;CL000008;PR000028;17;2.53;2021-09-23
OR002423;CL000080;PR000013;31;3.91;2021-09-23
OR002424;CL000054;PR000014;13;33.74;2021-09-24
OR002425;CL000091;PR000002;33;14.2;2021-09-24
OR002426;CL000050;PR000027;21;31.83;2021-09-24
OR002427;CL000025;PR000002;23;14.2;2021-09-24
OR002428;CL000019;PR000017;46;24.92;2021-09-24
OR002429;CL000003;PR000006;20;22.84;2021-09-24
OR002430;CL000015;PR000001;48;2.51;2021-09-24
OR002431;CL000068;PR000002;15;14.2;2021-09-24
OR002432;CL000026;PR000011;36;33.64;2021-09-24
OR002433;CL000088;PR000006;37;24.25;2021-09-24
OR002434;CL000005;PR000013;26;3.47;2021-09-24
OR002435;CL000025;PR000024;41;12.29;2021-09-24
OR002436;CL000026;PR000006;38;21.95;2021-09-24
OR002437;CL000067;PR000002;15;14.2;2021-09-25
OR002438;CL000012;PR000012;20;15.28;2021-09-25
OR002439;CL000034;PR000015;48;16.97;2021-09-25
OR002440;CL000001;PR000014;38;31.79;2021-09-25
OR002441;CL000019;PR000010;5;20.86;2021-09-25
OR002442;CL000085;PR000026;29;11.15;2021-09-25
OR002443;CL000035;PR000014;3;34.41;2021-09-25
OR002444;CL000056;PR000013;25;3.61;2021-09-25
OR002445;CL000016;PR000028;49;2.53;2021-09-25
OR002446;CL000016;PR000014;40;31.17;2021-09-25
OR002447;CL000071;PR000015;32;16.31;2021-09-25
OR002448;CL000062;PR000016;23;6.64;2021-09-26
OR002449;CL000041;PR000015;3;17.31;2021-09-26
OR002450;CL000010;PR000001;40;2.36;2021-09-26
OR002451;CL000046;PR000028;22;2.58;2021-09-26
OR002452;CL000001;PR000029;45;26.85;2021-09-26
OR002453;CL000055;PR000015;29;15.99;2021-09-26
OR002454;CL000054;PR000018;31;8.29;2021-09-27
OR002455;CL000028;PR000027;22;33.78;2021-09-27
OR002456;CL000079;PR000017;25;25.42;2021-09-27
OR002457;CL000036;PR000027;11;31.83;2021-09-27
OR002458;CL000013;PR000010;17;20.86;2021-09-28
OR002459;CL000055;PR000011;16;33.64;2021-09-28
OR002460;CL000038;PR000009;20;15.14;2021-09-28
OR002461;CL000079;PR000001;4;2.46;2021-09-28
OR002462;CL000004;PR000003;36;26.28;2021-09-28
OR002463;CL000016;PR000004;3;9.03;2021-09-28
OR002464;CL000005;PR000028;50;2.48;2021-09-28
OR002465;CL000008;PR000021;50;33.63;2021-09-28
OR002466;CL000026;PR000001;25;2.31;2021-09-29
OR002467;CL000043;PR000015;4;17.66;2021-09-29
OR002468;CL000001;PR000028;29;2.53;2021-09-29
OR002469;CL000065;PR000014;19;34.41;2021-09-29
OR002470;CL000016;PR000018;38;7.66;2021-09-29
OR002471;CL000016;PR000013;29;3.54;2021-09-29
OR002472;CL000003;PR000015;21;15.99;2021-09-29
OR002473;CL000026;PR000009;16;14.26;2021-09-29
OR002474;CL000019;PR000015;28;15.99;2021-09-29
OR002475;CL000052;PR000011;1;33.64;2021-09-29
OR002476;CL000031;PR000031;36;10.28;2021-09-29
OR002477;CL000095;PR000027;50;;2021-09-30
OR002478;CL000005;PR000006;39;20.69;2021-09-30
OR002479;CL000040;PR000027;39;31.83;2021-09-30
OR002480;CL000077;PR000028;44;2.58;2021-09-30
OR002481;CL000026;PR000018;41;7.81;2021-09-30
OR002482;CL000014;PR000016;41;6.64;2021-10-01
OR002483;CL000005;PR000017;49;24.43;2021-10-01
OR002484;CL000005;PR000008;39;28.06;2021-10-01
OR002485;CL000008;PR000030;47;12.1;2021-10-01
OR002486;CL000001;PR000008;15;28.62;2021-10-01
OR002487;CL000014;PR000009;44;14.84;2021-10-01
OR002488;CL000072;PR000006;14;24.25;2021-10-01
OR002489;CL000090;PR000030;15;12.1;2021-10-01
OR002490;CL000091;PR000013;40;4.07;2021-10-01
OR002491;CL000036;PR000011;13;33.64;2021-10-02
OR002492;CL000019;PR000015;15;15.99;2021-10-02
OR002493;CL000007;PR000002;6;14.2;2021-10-02
OR002494;CL000026;PR000027;43;31.83;2021-10-02
OR002495;CL000023;PR000019;33;22.5;2021-10-02
OR002496;CL000055;PR000027;19;31.83;2021-10-02
OR002497;CL000005;PR000008;43;28.06;2021-10-02
OR002498;CL000008;PR000028;44;2.53;2021-10-02
OR002499;CL000005;PR000007;24;24.02;2021-10-02
OR002500;CL000003;PR000003;13;26.28;2021-10-02
OR002501;CL000038;PR000014;27;34.41;2021-10-02
OR002502;CL000056;PR000015;15;16.31;2021-10-02
OR002503;CL000066;PR000020;24;14.79;2021-10-02
OR002504;CL000005;PR000001;49;2.31;2021-10-03
OR002505;CL000005;PR000005;13;10.62;2021-10-03
OR002506;CL000026;PR000001;20;2.31;2021-10-03
OR002507;CL000016;PR000016;27;6.38;2021-10-03
OR002508;CL000011;PR000020;45;14.79;2021-10-03
OR002509;CL000068;PR000001;19;2.51;2021-10-03
OR002510;CL000001;PR000008;4;28.62;2021-10-03
OR002511;CL000016;PR000028;40;2.53;2021-10-03
OR002512;CL000041;PR000027;24;31.83;2021-10-03
OR002513;CL000096;PR000014;44;34.41;2021-10-03
OR002514;CL000008;PR000006;1;21.52;2021-10-03
OR002515;CL000055;PR000014;9;31.17;2021-10-03
OR002516;CL000033;PR000026;4;11.15;2021-10-03
OR002517;CL000014;PR000027;37;31.83;2021-10-03
OR002518;CL000090;PR000006;22;24.73;2021-10-04
OR002519;CL000009;PR000001;2;2.46;2021-10-04
OR002520;CL000080;PR000001;9;2.46;2021-10-04
OR002521;CL000027;PR000008;43;28.62;2021-10-04
OR002522;CL000037;PR000016;28;6.77;2021-10-04
OR002523;CL000005;PR000007;26;;2021-10-04
OR002524;CL000013;PR000028;44;2.53;2021-10-04
OR002525;CL000012;PR000009;30;15.14;2021-10-04
